DateTime,Pressure (Pa),MSLP (Pa)
01-Feb-2015 05:00:00,102221.512998,102421.512998
01-Feb-2015 05:05:00,102222.641794,102422.641794
01-Feb-2015 05:10:00,102220.384202,102420.384202
01-Feb-2015 05:15:00,102214.740221,102414.740221
01-Feb-2015 05:20:00,102206.838649,102406.838649
01-Feb-2015 05:25:00,102207.967445,102407.967445
01-Feb-2015 05:30:00,102210.225037,102410.225037
01-Feb-2015 05:35:00,102202.323465,102402.323465
01-Feb-2015 05:40:00,102201.194669,102401.194669
01-Feb-2015 05:45:00,102198.937077,102398.937077
01-Feb-2015 05:50:00,102187.649116,102387.649116
01-Feb-2015 05:55:00,102176.361156,102376.361156
01-Feb-2015 06:00:00,102180.876340,102380.876340
01-Feb-2015 06:05:00,102179.747544,102379.747544
01-Feb-2015 06:10:00,102176.361156,102376.361156
01-Feb-2015 06:15:00,102174.103564,102374.103564
01-Feb-2015 06:20:00,102169.588379,102369.588379
01-Feb-2015 06:25:00,102169.588379,102369.588379
01-Feb-2015 06:30:00,102172.974767,102372.974767
01-Feb-2015 06:35:00,102174.103564,102374.103564
01-Feb-2015 06:40:00,102168.459583,102368.459583
01-Feb-2015 06:45:00,102167.330787,102367.330787
01-Feb-2015 06:50:00,102167.330787,102367.330787
01-Feb-2015 06:55:00,102168.459583,102368.459583
01-Feb-2015 07:00:00,102168.459583,102368.459583
01-Feb-2015 07:05:00,102161.686807,102361.686807
01-Feb-2015 07:10:00,102149.270050,102349.270050
01-Feb-2015 07:15:00,102151.527642,102351.527642
01-Feb-2015 07:20:00,102152.656439,102352.656439
01-Feb-2015 07:25:00,102154.914031,102354.914031
01-Feb-2015 07:30:00,102152.656439,102352.656439
01-Feb-2015 07:35:00,102160.558011,102360.558011
01-Feb-2015 07:40:00,102161.686807,102361.686807
01-Feb-2015 07:45:00,102159.429215,102359.429215
01-Feb-2015 07:50:00,102158.300419,102358.300419
01-Feb-2015 07:55:00,102151.527642,102351.527642
01-Feb-2015 08:00:00,102143.626070,102343.626070
01-Feb-2015 08:05:00,102144.754866,102344.754866
01-Feb-2015 08:10:00,102147.012458,102347.012458
01-Feb-2015 08:15:00,102144.754866,102344.754866
01-Feb-2015 08:20:00,102141.368478,102341.368478
01-Feb-2015 08:25:00,102137.982090,102337.982090
01-Feb-2015 08:30:00,102148.141254,102348.141254
01-Feb-2015 08:35:00,102131.209313,102331.209313
01-Feb-2015 08:40:00,102127.822925,102327.822925
01-Feb-2015 08:45:00,102137.982090,102337.982090
01-Feb-2015 08:50:00,102134.595702,102334.595702
01-Feb-2015 08:55:00,102135.724498,102335.724498
01-Feb-2015 09:00:00,102128.951721,102328.951721
01-Feb-2015 09:05:00,102116.534965,102316.534965
01-Feb-2015 09:10:00,102109.762188,102309.762188
01-Feb-2015 09:15:00,102113.148577,102313.148577
01-Feb-2015 09:20:00,102110.890985,102310.890985
01-Feb-2015 09:25:00,102115.406169,102315.406169
01-Feb-2015 09:30:00,102112.019781,102312.019781
01-Feb-2015 09:35:00,102099.603024,102299.603024
01-Feb-2015 09:40:00,102096.216636,102296.216636
01-Feb-2015 09:45:00,102102.989412,102302.989412
